@DeShobhaa,Shobhaa De,2333798
@ThisIsDsp,DEVI SRI PRASAD,2316915
@taran_adarsh,taran adarsh,2296660
@ActorMadhavan,Ranganathan Madhavan,2224450
@boxervijender,Vijender Singh,2191519
@humasqureshi,Huma Qureshi,2147772
@DuttYogi,Yogeshwar Dutt,2113632
@TheJohnAbraham,John Abraham,2105241
@Ileana_Official,Ileana D'Cruz,2103684
@PawanKalyan,Pawan Kalyan,2075594
@tamannaahspeaks,Tamannaah Bhatia,2039568
@yamigautam,Yami Gautam,1992725
@PritishNandy,Pritish Nandy,1951295
@Shankar_Live,Shankar Mahadevan,1911265
@purijagan,PURI JAGAN,1901347
@nikhilchinapa,Nikhil Chinapa,1881900
@igippygrewal,Gippy Grewal,1873099
@Its_Badshah,BADSHAH,1846499
@RonnieScrewvala,Ronnie Screwvala,1811274
@ShekharRavjiani,Shekhar Ravjiani,1809567
@kritisanon,Kriti Sanon,1779191
@ShekharGupta,Shekhar Gupta,1742783
@madhukishwar,MadhuPurnima Kishwar,1741955
@iamAmyJackson,Amy Jackson,1735911
@ImIshant,Ishant Sharma,1725947
@alluarjun,Allu Arjun,1671476
@PDdancing,Prabhudheva,1652210
@Pvsindhu1,Pvsindhu,1621635
@Ram_Guha,Ramachandra Guha,1614694
@Tiwarymanoj,Manoj Tiwary,1607012
@duttsanjay,Sanjay Dutt,1593386
@SGanguly99,Sourav Ganguly,1483267
@udaychopra,Uday Chopra,1480952
@salim_merchant,salim merchant,1460967
@satyanadella,Satya Nadella,1445877
@sudhirchaudhary,Sudhir Chaudhary,1423085
@SDhawan25,Shikhar Dhawan,1393031
@y_umesh,Umesh Yaadav,1392915
@tarak9999,Jr NTR,1384135
@Nawazuddin_S,Nawazuddin Siddiqui,1380743
@TandonRaveena,Raveena Tandon,1375179
@imjadeja,Ravindrasinh jadeja,1361481
@Guttajwala,Gutta Jwala,1359445
@anupamachopra,Anupama Chopra,1350891
@SrideviBKapoor,SRIDEVI BONEY KAPOOR,1343268
@sakpataudi,Soha Ali Khan,1331069
@AnjanaVJ,Anjana Rangan,1313908
@hvgoenka,Harsh Goenka,1287316
@kiranshaw,Kiran Mazumdar Shaw,1268859
@KajolAtUN,Kajol,1268703
@Leander,Leander Paes,1202499
@iTIGERSHROFF,Tiger Shroff,1200281
@sundarpichai,Sundar Pichai,1188929
